repo,stars,releases,idade_anos,cbo,dit,lcom,loc,locComment
hongyangAndroid/AndroidAutoLayout,6675,0,9.84,5.833333333333333,2.0,8.807692307692308,30.384615384615383,0
hongyangAndroid/baseAdapter,4720,0,10.14,4.88,1.32,18.28,31.26,0
hongyangAndroid/FlowLayout,5595,0,10.07,4.323529411764706,1.411764705882353,5.0,23.823529411764707,0
hongyangAndroid/okhttputils,6860,0,10.1,3.7285714285714286,1.457142857142857,6.2,28.014285714285716,0
HotBitmapGG/bilibili-android-client,4493,1,9.31,4.92128801431127,1.8175313059033988,42.7906976744186,69.5742397137746,0
houbb/sensitive-word,5384,2,5.7,3.04,1.1733333333333333,20.79111111111111,18.42222222222222,0
huanghaibin-dev/CalendarView,9317,1,8.53,6.568181818181818,2.159090909090909,53.18181818181818,65.66477272727273,0
huangyanbin/smartTable,5219,30,7.87,5.09065934065934,1.1895604395604396,25.928571428571427,38.91483516483517,0
huburt-Hu/NewbieGuide,3622,20,8.15,4.3076923076923075,1.1794871794871795,10.435897435897436,24.307692307692307,0
hugeterry/CoordinatorTabLayout,4197,0,8.65,5.294117647058823,1.411764705882353,9.411764705882353,27.823529411764707,0
hussien89aa/AndroidTutorialForBeginners,4531,0,8.98,4.511627906976744,1.496124031007752,2.744186046511628,30.674418604651162,0
hustcc/JS-Sorting-Algorithm,5186,0,8.67,3.5833333333333335,1.0,2.8333333333333335,32.416666666666664,0
iBotPeaches/Apktool,22925,27,13.51,5.906593406593407,1.9175824175824177,51.0,68.08791208791209,0
ikarus23/MifareClassicTool,5357,8,12.61,11.090909090909092,2.272727272727273,106.03030303030303,201.0,0
ikew0ng/SwipeBackLayout,6123,0,12.08,5.0,1.3888888888888888,61.333333333333336,90.83333333333333,0
iluwatar/java-design-patterns,92710,0,11.12,3.3643083421330515,1.197465681098205,1.8405491024287224,18.73495248152059,0
immutables/immutables,3517,15,12.21,4.6779970760233915,1.2832602339181287,30.607456140350877,25.964181286549707,0
infinilabs/analysis-ik,17216,1,13.77,4.815789473684211,1.368421052631579,15.421052631578947,67.65789473684211,0
IoT-Technology/IoT-Technical-Guide,4407,0,6.47,4.085034013605442,1.248299319727891,3.163265306122449,17.806122448979593,0
IrisShaders/Iris,3574,30,4.91,6.209429824561403,1.3157894736842106,22.638157894736842,41.546052631578945,0
iterate-ch/cyberduck,3922,0,8.67,6.2927706031154305,1.3528158700572495,65.4815603781121,39.61363333777127,0
ittianyu/BottomNavigationViewEx,3476,19,8.86,4.896551724137931,1.5862068965517242,50.13793103448276,47.275862068965516,0
ityouknow/spring-boot-examples,30606,0,8.88,4.726384364820847,1.0260586319218241,5.03257328990228,14.530944625407166,0
ityouknow/spring-cloud-examples,6225,0,8.4,3.8333333333333335,1.0166666666666666,0.4666666666666667,6.5,0
j-easy/easy-rules,5153,10,12.53,5.092592592592593,1.3148148148148149,7.62962962962963,29.98148148148148,0
JabRef/jabref,4021,30,11.53,,,,,0
Jacksgong/JKeyboardPanelSwitch,4190,14,10.22,5.2,1.3,7.38,34.72,0
jacoco/jacoco,4412,30,13.21,4.258510638297873,1.4319148936170212,12.62340425531915,39.13191489361702,0
jagrosh/MusicBot,5671,30,9.1,6.741935483870968,2.5053763440860215,10.591397849462366,44.053763440860216,0
JakeWharton/ActionBarSherlock,7075,30,14.55,6.126463700234192,1.9718969555035128,63.39812646370024,61.97423887587822,0
JakeWharton/butterknife,25482,0,12.55,3.9595588235294117,1.2352941176470589,10.481617647058824,28.352941176470587,0
JakeWharton/DiskLruCache,5774,0,13.72,3.25,1.3333333333333333,11.0,161.41666666666666,0
JakeWharton/hugo,7931,0,11.82,5.714285714285714,1.1428571428571428,27.714285714285715,54.857142857142854,0
JakeWharton/NineOldAndroids,4477,0,13.79,4.2898550724637685,1.434782608695652,30.144927536231883,54.96376811594203,0
JakeWharton/ThreeTenABP,3571,0,10.22,4.285714285714286,1.4285714285714286,1.4285714285714286,16.714285714285715,0
JakeWharton/u2020,5661,0,11.85,6.2164179104477615,1.4253731343283582,23.619402985074625,35.865671641791046,0
JakeWharton/ViewPagerIndicator,10104,0,14.13,5.4393939393939394,2.242424242424242,29.272727272727273,44.65151515151515,0
janishar/android-mvp-architecture,4444,0,8.65,5.815068493150685,1.3835616438356164,14.10958904109589,27.732876712328768,0
janishar/mit-deep-learning-book-pdf,13598,3,8.46,0.0,1.0,0.0,2.0,0
jankotek/mapdb,5017,0,13.1,3.2395437262357416,2.0228136882129277,81.84790874524715,76.79847908745248,0
JanusGraph/janusgraph,5618,28,8.73,7.016350210970464,1.4425105485232068,43.89978902953587,54.992616033755276,0
Jasonchenlijian/FastBle,5447,9,9.08,4.380952380952381,1.2952380952380953,26.066666666666666,44.885714285714286,0
java-decompiler/jd-gui,14747,18,10.5,4.538083538083538,2.4176904176904177,11.115479115479115,47.44226044226044,0
java-native-access/jna,8802,0,14.4,4.5340380549682875,2.3665961945031713,44.93784355179704,45.16025369978858,0
javagrowing/JGrowing,4564,0,6.57,1.5263157894736843,1.0,1.9473684210526316,17.31578947368421,0
javahuang/SurveyKing,3705,3,4.04,5.175,1.23,7.825,23.0925,0
JavaNoober/BackgroundLibrary,3893,13,7.03,4.7899159663865545,1.2100840336134453,34.1764705882353,67.47058823529412,0
javastacks/spring-boot-best-practice,4910,0,6.87,4.744318181818182,1.0909090909090908,3.1193181818181817,11.181818181818182,0
Javen205/IJPay,6176,24,8.39,5.589743589743589,1.36996336996337,139.4029304029304,51.78021978021978,0
jbloch/effective-java-3e-source-code,3998,0,7.13,1.1287128712871286,1.188118811881188,1.3267326732673268,14.94059405940594,0
jboss-javassist/javassist,4217,24,12.33,3.381081081081081,1.553153153153153,43.90810810810811,74.97837837837838,0
JCTools/JCTools,3729,18,11.86,4.601522842639594,3.9086294416243654,19.965736040609137,47.058375634517766,0
jd-opensource/joyagent-jdgenie,7049,1,0.18,4.792592592592593,1.1037037037037036,4.296296296296297,37.62222222222222,0
jdamcd/android-crop,4536,6,11.53,4.290322580645161,1.3870967741935485,26.483870967741936,54.064516129032256,0
jeasonlzy/ImagePicker,4314,5,9.65,5.828947368421052,1.486842105263158,23.07894736842105,48.48684210526316,0
jeasonlzy/okhttp-OkGo,10601,14,9.68,5.595567867036011,1.6232686980609419,19.445983379501385,37.16897506925208,0
jeecgboot/jimureport,7543,29,5.79,6.75,1.0833333333333333,2.3333333333333335,25.0,0
jeequan/jeepay,5738,0,8.11,8.776363636363635,1.7836363636363637,4.290909090909091,31.214545454545455,0
JeffLi1993/springboot-learning-example,16557,0,8.62,4.614035087719298,1.043859649122807,2.8508771929824563,14.394736842105264,0
jenkinsci/jenkins,24447,30,14.83,6.2403214024835645,1.8967616264913563,46.24202580959338,45.438763087411736,0
JeremyLiao/LiveEventBus,3969,0,7.2,3.227272727272727,1.1103896103896105,4.035714285714286,25.266233766233768,0
JessYanCoding/AndroidAutoSize,13694,14,7.1,5.408163265306122,1.4081632653061225,31.285714285714285,35.10204081632653,0
JessYanCoding/MVPArms,10285,25,9.13,6.644295302013423,1.2818791946308725,32.100671140939596,40.1744966442953,0
JesusFreke/smali,6534,0,12.99,6.018229166666667,1.6666666666666667,15.016493055555555,40.592013888888886,0
jetlinks/jetlinks-community,6159,20,5.72,7.896308360477741,1.266558089033659,11.758414766558088,32.80564603691639,0
jetty/jetty.project,4000,30,14.19,5.464648489708634,1.6335872761293773,25.35792568831863,48.10224538893344,0
jfeinstein10/SlidingMenu,11044,0,13.23,4.77027027027027,1.8243243243243243,47.445945945945944,41.689189189189186,0
JFormDesigner/FlatLaf,3920,30,6.09,3.8156028368794326,3.6843971631205674,64.82624113475177,86.91489361702128,0
jgilfelt/chuck,4700,5,8.62,5.833333333333333,1.380952380952381,55.73809523809524,40.42857142857143,0
jgilfelt/SystemBarTint,5354,3,11.85,8.0,1.7777777777777777,22.555555555555557,89.66666666666667,0
jhy/jsoup,11243,20,15.76,6.306372549019608,1.8063725490196079,240.08333333333334,93.17156862745098,0
jindrapetrik/jpexs-decompiler,5088,30,11.37,5.789940828402367,1.8865877712031558,57.625739644970416,85.26084812623274,0
jishenghua/jshERP,3820,6,9.0,5.825,1.3277777777777777,1674.7,197.375,0
jitsi/jitsi,4260,7,12.41,5.438607398197078,1.9011501398818775,39.3705315511346,61.06154802611128,0
jlegewie/zotfile,4241,30,13.73,,,,,0
