full_name,owner,name,description,url,stars,forks,primary_language,releases,age_years,size_bytes,repository,total_classes,avg_cbo,median_cbo,std_cbo,avg_dit,median_dit,std_dit,avg_lcom,median_lcom,std_lcom,total_loc,avg_loc_per_class,max_cbo,max_dit,max_lcom
yuliskov/SmartTube,yuliskov,SmartTube,Browse media content with your own rules on Android TV,https://github.com/yuliskov/SmartTube,24440,1314,Java,913,5.13,14594751,yuliskov_SmartTube,3210,6.6526479750778815,4.0,8.045052762154112,1.5538940809968846,1.0,1.4717847340958063,65.95794392523365,1.0,452.9672151630832,238110,74.17757009345794,79,49,12128
bazelbuild/bazel,bazelbuild,bazel,"a fast, scalable, multi-language and extensible build system",https://github.com/bazelbuild/bazel,24553,4294,Java,212,11.26,53009316,bazelbuild_bazel,9599,7.316387123658714,5.0,9.920259969192893,1.6063131576205856,1.0,1.3628620393818363,57.3656630899052,1.0,782.9277418646651,525829,54.77956037087196,337,46,58996
jenkinsci/jenkins,jenkinsci,jenkins,Jenkins automation server,https://github.com/jenkinsci/jenkins,24426,9135,Java,443,14.81,13974394,jenkinsci_jenkins,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
Netflix/Hystrix,Netflix,Hystrix,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.",https://github.com/Netflix/Hystrix,24397,4718,Java,79,12.81,3425735,Netflix_Hystrix,2005,3.340648379052369,2.0,5.187903227582035,1.570074812967581,1.0,3.5920601959719516,20.253865336658354,0.0,385.24130640800433,62010,30.92768079800499,79,114,14194
google/gson,google,gson,A Java serialization/deserialization library to convert Java Objects into JSON and back,https://github.com/google/gson,24038,4352,Java,12,10.49,1893361,google_gson,1076,3.024163568773234,2.0,4.463534082880327,1.2815985130111525,1.0,1.0242073057588879,20.598513011152416,0.0,378.73453740191513,34449,32.015799256505574,44,24,12246
CodePhiliaX/Chat2DB,CodePhiliaX,Chat2DB,"🔥🔥🔥AI-driven database tool and SQL client, The hottest GUI client, supporting MySQL, Oracle, PostgreSQL, DB2, SQL Server, DB2, SQLite, H2, ClickHouse, and more.",https://github.com/CodePhiliaX/Chat2DB,24239,2633,Java,43,2.23,4055488,CodePhiliaX_Chat2DB,1045,6.086124401913875,4.0,7.029375200718674,1.2660287081339714,1.0,0.5605518790769856,16.489952153110046,0.0,84.83664235184057,35180,33.665071770334926,73,5,1884
doocs/source-code-hunter,doocs,source-code-hunter,😱 从源码层面，剖析挖掘互联网行业主流技术的底层实现原理，为广大开发者 “提升技术深度” 提供便利。目前开放 Spring 全家桶，Mybatis、Netty、Dubbo 框架，及 Redis、Tomcat 中间件等,https://github.com/doocs/source-code-hunter,22950,4220,Java,0,5.88,171,doocs_source-code-hunter,1,0.0,0.0,nan,1.0,1.0,nan,0.0,0.0,nan,5,5.0,0,1,0
DrKLO/Telegram,DrKLO,Telegram,Telegram for Android source,https://github.com/DrKLO/Telegram,27527,8931,Java,95,11.89,164373087,DrKLO_Telegram,13383,6.837181498916536,4.0,13.411494975046988,1.6592692221475005,1.0,16.626656106789884,65.09437345886573,0.0,1195.5622030882248,1606325,120.02727340656057,490,1916,93932
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,FizzBuzzEnterpriseEdition,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22776,779,Java,0,12.8,84991,EnterpriseQualityCoding_FizzBuzzEnterpriseEdition,91,2.901098901098901,2.0,2.836488224136572,1.0,1.0,0.0,0.23076923076923078,0.0,0.716114874039433,894,9.824175824175825,16,1,4
iBotPeaches/Apktool,iBotPeaches,Apktool,A tool for reverse engineering Android apk files,https://github.com/iBotPeaches/Apktool,22894,3806,Java,26,13.49,710214,iBotPeaches_Apktool,182,5.906593406593407,5.0,5.242944265782341,1.9175824175824177,2.0,1.207169504005903,51.0,1.0,295.12156873310994,12392,68.08791208791209,29,5,3486
redisson/redisson,redisson,redisson,"Redisson - Valkey & Redis Java client. Real-Time Data Platform. Sync/Async/RxJava/Reactive API. Over 50 Valkey and Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Bloom filter, Spring, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache..",https://github.com/redisson/redisson,24025,5480,Java,173,11.67,18398873,redisson_redisson,2853,5.956887486855941,3.0,10.732559438647266,1.342446547493866,1.0,0.7620996231389515,180.41324921135646,0.0,1619.0238881973637,168804,59.16719242902208,204,7,48510
apache/rocketmq,apache,rocketmq,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications.",https://github.com/apache/rocketmq,22092,11949,Java,22,8.79,14486627,apache_rocketmq,2860,6.881818181818182,3.5,10.484286857713045,1.3314685314685315,1.0,0.7531600286393724,122.05594405594405,1.0,2334.9504381165425,215493,75.3472027972028,197,11,87982
elunez/eladmin,elunez,eladmin,eladmin jpa 版本：项目基于 Spring Boot 2.7.18、 Jpa、 Spring Security、Redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由,https://github.com/elunez/eladmin,21785,7396,Java,1,6.75,883025,elunez_eladmin,282,8.01418439716312,5.0,7.683217200927227,1.1631205673758864,1.0,0.44839156558518495,6.202127659574468,0.0,19.223676712497905,8063,28.592198581560282,37,4,177
dataease/dataease,dataease,dataease,🔥 人人可用的开源 BI 工具，数据可视化神器。An open-source BI tool alternative to Tableau.,https://github.com/dataease/dataease,21838,3772,Java,98,4.61,20140247,dataease_dataease,1099,4.947224749772521,3.0,7.348279542609058,1.2074613284804367,1.0,0.681995102452422,27.770700636942674,0.0,184.24782405993332,42742,38.89171974522293,86,6,3652
LSPosed/LSPosed,LSPosed,LSPosed,LSPosed Framework,https://github.com/LSPosed/LSPosed,21531,3791,Java,39,4.75,1439106,LSPosed_LSPosed,427,5.522248243559719,3.0,7.247233346434148,1.6463700234192038,1.0,1.2869896760042594,48.114754098360656,0.0,319.84925064569575,22952,53.75175644028103,46,16,4250
google/ExoPlayer,google,ExoPlayer,This project is deprecated and stale. The latest ExoPlayer code is available in https://github.com/androidx/media,https://github.com/google/ExoPlayer,21877,6044,Java,28,11.25,18462654,google_ExoPlayer,3281,7.587930508991161,5.0,8.947626781146033,1.295032002438281,1.0,1.0157913264015426,52.220054861322765,0.0,493.1386397601684,262348,79.95976836330387,127,31,16110
kestra-io/kestra,kestra-io,kestra,":zap: Universal Workflow Orchestration Platform — Code in any language, run anywhere. 900+ plugins for data, infrastructure, and AI automation.",https://github.com/kestra-io/kestra,21142,1812,Java,307,6.06,7998920,kestra-io_kestra,1918,8.212721584984358,6.0,8.77924978030112,1.4520333680917623,1.0,0.788244045294557,15.010427528675704,0.0,91.26484927576344,66439,34.63972888425443,112,9,2617
CarGuo/GSYVideoPlayer,CarGuo,GSYVideoPlayer,"视频播放器（IJKplayer、ExoPlayer、MediaPlayer），HTTPS，16k page size，支持弹幕，外挂字幕，支持滤镜、水印、gif截图，片头广告、中间广告，多个同时播放，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，列表全屏动画，视频加载速度，列表小窗口支持拖动，动画效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，列表切换详情页面无缝播放，rtsp、concat、mpeg。 ",https://github.com/CarGuo/GSYVideoPlayer,21083,4293,Java,53,8.83,1629071,CarGuo_GSYVideoPlayer,636,5.485849056603773,2.0,6.822943304832581,1.5754716981132075,1.0,1.518068270274262,55.355345911949684,0.0,309.22771899014595,31928,50.20125786163522,56,10,4426
brettwooldridge/HikariCP,brettwooldridge,HikariCP,"光 HikariCP・A solid, high-performance, JDBC connection pool at last.",https://github.com/brettwooldridge/HikariCP,20710,2999,Java,0,11.93,702482,brettwooldridge_HikariCP,185,4.383783783783784,3.0,4.196110615894505,1.2864864864864864,1.0,0.6586226414144778,172.67027027027027,0.0,1408.661311174716,11464,61.96756756756757,28,5,18141
kunal-kushwaha/DSA-Bootcamp-Java,kunal-kushwaha,DSA-Bootcamp-Java,"This repository consists of the code samples, assignments, and notes for the Java data structures & algorithms + interview preparation bootcamp of WeMakeDevs.",https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,20635,12571,Java,0,4.12,244505,kunal-kushwaha_DSA-Bootcamp-Java,253,1.2687747035573123,1.0,1.2403969541247652,1.08300395256917,1.0,0.3407328527871097,3.5019762845849804,1.0,11.010681864735693,6614,26.142292490118578,8,3,100
didi/DoKit,didi,DoKit,一款面向泛前端产品研发全生命周期的效率平台。,https://github.com/didi/DoKit,20387,3186,Java,14,7.08,7827325,didi_DoKit,1569,4.506054811982154,2.0,5.759098418275337,1.3205863607393244,1.0,0.8374771777838186,71.76673040152964,0.0,634.3989797032704,80480,51.293817718291905,71,18,18418
mybatis/mybatis-3,mybatis,mybatis-3,MyBatis SQL mapper framework for Java,https://github.com/mybatis/mybatis-3,20229,12964,Java,46,12.57,3799047,mybatis_mybatis-3,1742,3.5419058553386913,2.0,4.944170841962186,1.2399540757749712,1.0,0.7823803486487805,20.97531572904707,0.0,249.43334279471603,60376,34.659012629161886,76,17,9831
ReactiveX/RxAndroid,ReactiveX,RxAndroid,RxJava bindings for Android,https://github.com/ReactiveX/RxAndroid,20067,2950,Java,20,11.07,63703,ReactiveX_RxAndroid,55,2.272727272727273,1.0,3.788161605603482,1.1272727272727272,1.0,0.4326723786023175,3.090909090909091,0.0,11.233667530921776,1452,26.4,18,3,66
openjdk/jdk,openjdk,jdk,JDK main-line development https://openjdk.org/projects/jdk,https://github.com/openjdk/jdk,21690,6227,Java,0,6.99,446399504,openjdk_jdk,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
linlinjava/litemall,linlinjava,litemall,又一个小商城。litemall = Spring Boot后端 + Vue管理员前端 + 微信小程序用户前端 + Vue用户移动端,https://github.com/linlinjava/litemall,19911,7332,Java,8,7.48,5460576,linlinjava_litemall,617,4.6175040518638575,3.0,5.849815592087357,1.1264181523500811,1.0,0.33258966205569424,1532.8849270664505,1.0,9402.600398020411,90884,147.2998379254457,50,2,170778
oracle/graal,oracle,graal,"GraalVM compiles Java applications into native executables that start instantly, scale fast, and use fewer compute resources 🚀",https://github.com/oracle/graal,21085,1736,Java,32,9.66,129621696,oracle_graal,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
xiaojieonly/Ehviewer_CN_SXJ,xiaojieonly,Ehviewer_CN_SXJ,ehviewer，用爱发电，快乐前行,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,19655,528,Java,106,4.84,6302471,xiaojieonly_Ehviewer_CN_SXJ,910,6.876923076923077,4.0,9.82040126222814,1.7164835164835164,1.0,1.2405208225455704,68.42197802197802,1.0,655.3903765017035,74646,82.02857142857142,116,15,18479
Baseflow/PhotoView,Baseflow,PhotoView,"Implementation of ImageView for Android that supports zooming, by various touch gestures.",https://github.com/Baseflow/PhotoView,18871,3933,Java,5,13.16,52523,Baseflow_PhotoView,45,4.733333333333333,3.0,5.544858388223684,1.3555555555555556,1.0,0.5703091488416833,24.6,0.0,157.2585306256721,1792,39.82222222222222,30,3,1056
dianping/cat,dianping,cat,"CAT 作为服务端项目基础组件，提供了 Java, C/C++, Node.js, Python, Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。",https://github.com/dianping/cat,18931,5436,Java,3,12.77,22177822,dianping_cat,1892,5.527484143763213,4.0,6.04904906733261,1.43446088794926,1.0,0.7083669894204084,23.035940803382665,1.0,104.20582680213388,98001,51.79756871035941,54,10,2018
thingsboard/thingsboard,thingsboard,thingsboard,"Open-source IoT Platform - Device management, data collection, processing and visualization.",https://github.com/thingsboard/thingsboard,19686,5787,Java,70,8.78,36320026,thingsboard_thingsboard,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
